"filename", "language", "JavaScript", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\AddProject.js", "JavaScript", 81, 0, 0, 0, 79, 12, 172
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\AddTask.js", "JavaScript", 174, 0, 0, 0, 169, 21, 364
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\Checkbox.js", "JavaScript", 21, 0, 0, 0, 1, 4, 26
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\IndividualProject.js", "JavaScript", 59, 0, 0, 0, 1, 4, 64
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\ProjectOverlay.js", "JavaScript", 44, 0, 0, 0, 0, 3, 47
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\Projects.js", "JavaScript", 32, 0, 0, 0, 0, 4, 36
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\TaskDate.js", "JavaScript", 85, 0, 0, 0, 0, 2, 87
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\Tasks.js", "JavaScript", 43, 0, 0, 0, 0, 8, 51
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\layout\AgendaElements.js", "JavaScript", 66, 0, 0, 0, 10, 12, 88
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\layout\Content.js", "JavaScript", 9, 0, 0, 0, 0, 3, 12
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\layout\HeaderAgenda.css", "CSS", 0, 11, 0, 0, 1, 4, 16
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\layout\HeaderAgenda.js", "JavaScript", 48, 0, 0, 0, 6, 10, 64
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\components\layout\SidebarAgenda.js", "JavaScript", 127, 0, 0, 0, 6, 5, 138
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\constants\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 5
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\context\index.js", "JavaScript", 18, 0, 0, 0, 0, 3, 21
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\context\projects-context.js", "JavaScript", 16, 0, 0, 0, 0, 4, 20
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\context\selected-project-context.js", "JavaScript", 17, 0, 0, 0, 0, 4, 21
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\helpers\index.js", "JavaScript", 25, 0, 0, 0, 0, 10, 35
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Agenda\hooks\index.js", "JavaScript", 67, 0, 0, 0, 66, 24, 157
"c:\Users\syedh\OneDrive\Desktop\Antive\src\App.css", "CSS", 0, 11, 0, 0, 1, 2, 14
"c:\Users\syedh\OneDrive\Desktop\Antive\src\App.js", "JavaScript", 71, 0, 0, 0, 31, 9, 111
"c:\Users\syedh\OneDrive\Desktop\Antive\src\App.scss", "SCSS", 0, 0, 0, 718, 53, 98, 869
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\Balance.js", "JavaScript", 23, 0, 0, 0, 5, 4, 32
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\BudgetPages.css", "CSS", 0, 6, 0, 0, 0, 1, 7
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\BudgetPages.js", "JavaScript", 50, 0, 0, 0, 4, 14, 68
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\DashboardExpenseCard.js", "JavaScript", 104, 0, 0, 0, 44, 14, 162
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\ExpenseCard.js", "JavaScript", 88, 0, 0, 0, 23, 12, 123
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\NewTransaction.js", "JavaScript", 112, 0, 0, 0, 0, 7, 119
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\Transaction.js", "JavaScript", 88, 0, 0, 0, 15, 9, 112
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\TransactionDash.js", "JavaScript", 110, 0, 0, 0, 17, 10, 137
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\TransactionIterate.js", "JavaScript", 36, 0, 0, 0, 4, 6, 46
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Budget\styles.css", "CSS", 0, 73, 0, 0, 6, 12, 91
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat2\components\ChatFeed.js", "JavaScript", 78, 0, 0, 0, 0, 10, 88
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat2\components\MessageForm.js", "JavaScript", 49, 0, 0, 0, 0, 10, 59
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat2\components\MyMessage.js", "JavaScript", 18, 0, 0, 0, 0, 2, 20
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat2\components\TheirMessage.js", "JavaScript", 28, 0, 0, 0, 0, 2, 30
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat2\page\Chatdisplaypage.js", "JavaScript", 19, 0, 0, 0, 3, 7, 29
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat2\styles\chatstyles.css", "CSS", 0, 0, 0, 0, 296, 1, 297
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat\components\Chats.js", "JavaScript", 95, 0, 0, 0, 10, 17, 122
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Chat\index.css", "CSS", 0, 367, 0, 0, 79, 68, 514
"c:\Users\syedh\OneDrive\Desktop\Antive\src\ComingSoon\ComingSoon.css", "CSS", 0, 44, 0, 0, 0, 8, 52
"c:\Users\syedh\OneDrive\Desktop\Antive\src\ComingSoon\ComingSoon.js", "JavaScript", 39, 0, 0, 0, 1, 4, 44
"c:\Users\syedh\OneDrive\Desktop\Antive\src\ComingSoon\ComingSoonElements.js", "JavaScript", 20, 0, 0, 0, 0, 3, 23
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\DriveElements.js", "JavaScript", 17, 0, 0, 0, 0, 4, 21
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\components\BudgetDash.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\components\DriveDash.js", "JavaScript", 63, 0, 0, 0, 5, 8, 76
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\components\TaskDash.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\dashboard.css", "CSS", 0, 163, 0, 0, 22, 32, 217
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\index.js", "JavaScript", 64, 0, 0, 0, 63, 7, 134
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\pages\BudgetDashPage.js", "JavaScript", 11, 0, 0, 0, 2, 3, 16
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\pages\DriveDashPage.js", "JavaScript", 16, 0, 0, 0, 2, 5, 23
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Dashboard\pages\TaskDashPage.js", "JavaScript", 15, 0, 0, 0, 3, 5, 23
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\Buttons\AddFileButton.js", "JavaScript", 132, 0, 0, 0, 125, 27, 284
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\Buttons\AddFolderButton.js", "JavaScript", 98, 0, 0, 0, 0, 11, 109
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\Buttons\HomeButton.js", "JavaScript", 20, 0, 0, 0, 0, 2, 22
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\files\File.js", "JavaScript", 101, 0, 0, 0, 0, 6, 107
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\files\FilesEmptyState.js", "JavaScript", 22, 0, 0, 0, 0, 2, 24
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\files\FilesTable.js", "JavaScript", 27, 0, 0, 0, 0, 2, 29
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\files\FilesTableSkeleton.js", "JavaScript", 45, 0, 0, 0, 0, 3, 48
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\folders\Folder.js", "JavaScript", 73, 0, 0, 0, 10, 10, 93
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\folders\FolderGrid.js", "JavaScript", 13, 0, 0, 0, 0, 2, 15
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\layout\DashboardDrive.js", "JavaScript", 190, 0, 0, 0, 12, 17, 219
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\layout\DashboardDriveElements.js", "JavaScript", 39, 0, 0, 0, 1, 8, 48
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\layout\FolderBreadCrumbs.js", "JavaScript", 48, 0, 0, 0, 0, 3, 51
"c:\Users\syedh\OneDrive\Desktop\Antive\src\Drive\components\popupmodal\Modal.css", "CSS", 0, 24, 0, 0, 0, 4, 28
